player_name,slug,team,profile_id,headshot_id,image_filename,image_url,status
Priyansh Arya,priyansh-arya,punjab-kings,22052,3571,priyansh-arya_3571.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3571.png,downloaded
Pyla Avinash,pyla-avinash,punjab-kings,22145,3573,pyla-avinash_3573.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3573.png,downloaded
Quinten D'Cock,quinton-de-kock,mumbai-indians,834,170,quinton-de-kock_170.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/170.png,alias
Quinton De Kock,quinton-de-kock,mumbai-indians,834,170,quinton-de-kock_170.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/170.png,downloaded
R Sai kishore,sai-kishore,gujarat-titans,7123,544,sai-kishore_544.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/544.png,alias
Rachin Ravindra,rachin-ravindra,kolkata-knight-riders,20684,724,rachin-ravindra_724.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/724.png,downloaded
Raghu Sharma,raghu-sharma,mumbai-indians,22379,3869,raghu-sharma_3869.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3869.png,downloaded
Rahmanullah Gurbaz,rahmanullah-gurbaz,,20625,641,,https://documents.iplt20.com/ipl/IPLHeadshot2025/641.png,linked
Rahul Chahar,rahul-chahar,chennai-super-kings,3763,171,rahul-chahar_171.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/171.png,downloaded
Rahul Tewatia,rahul-tewatia,gujarat-titans,1749,120,rahul-tewatia_120.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/120.png,downloaded
Rahul Tripathi,rahul-tripathi,kolkata-knight-riders,3838,188,rahul-tripathi_188.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/188.png,downloaded
Raj Angad Bawa,raj-angad-bawa,mumbai-indians,20601,781,raj-angad-bawa_781.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/781.png,downloaded
Rajat Patidar,rajat-patidar,royal-challengers-bengaluru,5471,597,rajat-patidar_597.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/597.png,downloaded
Rajvardhan Hangargekar,rajvardhan-hangargekar,,20571,783,,https://documents.iplt20.com/ipl/IPLHeadshot2025/783.png,linked
